,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
70,Norte,RO,,11,,,,2023-01-01,1,1777225.0,471673,0,7399,0,,,
71,Norte,RO,,11,,,,2023-01-02,1,1777225.0,472112,439,7400,1,,,
72,Norte,RO,,11,,,,2023-01-03,1,1777225.0,472459,347,7401,1,,,
73,Norte,RO,,11,,,,2023-01-04,1,1777225.0,473198,739,7404,3,,,
74,Norte,RO,,11,,,,2023-01-05,1,1777225.0,473724,526,7406,2,,,
75,Norte,RO,,11,,,,2023-01-06,1,1777225.0,474137,413,7406,0,,,
76,Norte,RO,,11,,,,2023-01-07,1,1777225.0,474455,318,7407,1,,,
77,Norte,RO,,11,,,,2023-01-08,2,1777225.0,474578,123,7409,2,,,
78,Norte,RO,,11,,,,2023-01-09,2,1777225.0,474912,334,7412,3,,,
79,Norte,RO,,11,,,,2023-01-10,2,1777225.0,475429,517,7412,0,,,
80,Norte,RO,,11,,,,2023-01-11,2,1777225.0,475973,544,7414,2,,,
81,Norte,RO,,11,,,,2023-01-12,2,1777225.0,476629,656,7414,0,,,
82,Norte,RO,,11,,,,2023-01-13,2,1777225.0,476983,354,7415,1,,,
83,Norte,RO,,11,,,,2023-01-14,2,1777225.0,477118,135,7415,0,,,
84,Norte,RO,,11,,,,2023-01-15,3,1777225.0,477135,17,7415,0,,,
85,Norte,RO,,11,,,,2023-01-16,3,1777225.0,477195,60,7417,2,,,
86,Norte,RO,,11,,,,2023-01-17,3,1777225.0,477626,431,7418,1,,,
87,Norte,RO,,11,,,,2023-01-18,3,1777225.0,478071,445,7418,0,,,
88,Norte,RO,,11,,,,2023-01-19,3,1777225.0,478263,192,7418,0,,,
89,Norte,RO,,11,,,,2023-01-20,3,1777225.0,478445,182,7418,0,,,
90,Norte,RO,,11,,,,2023-01-21,3,1777225.0,478562,117,7418,0,,,
91,Norte,RO,,11,,,,2023-01-22,4,1777225.0,478570,8,7418,0,,,
92,Norte,RO,,11,,,,2023-01-23,4,1777225.0,478714,144,7418,0,,,
93,Norte,RO,,11,,,,2023-01-24,4,1777225.0,478822,108,7418,0,,,
94,Norte,RO,,11,,,,2023-01-25,4,1777225.0,479385,563,7420,2,,,
95,Norte,RO,,11,,,,2023-01-26,4,1777225.0,479573,188,7425,5,,,
96,Norte,RO,,11,,,,2023-01-27,4,1777225.0,479770,197,7424,-1,,,
97,Norte,RO,,11,,,,2023-01-28,4,1777225.0,479887,117,7424,0,,,
98,Norte,RO,,11,,,,2023-01-29,5,1777225.0,479887,0,7424,0,,,
99,Norte,RO,,11,,,,2023-01-30,5,1777225.0,480883,996,7425,1,,,
100,Norte,RO,,11,,,,2023-01-31,5,1777225.0,481042,159,7425,0,,,
101,Norte,RO,,11,,,,2023-02-01,5,1777225.0,481211,169,7425,0,,,
102,Norte,RO,,11,,,,2023-02-02,5,1777225.0,481283,72,7426,1,,,
103,Norte,RO,,11,,,,2023-02-03,5,1777225.0,481336,53,7426,0,,,
104,Norte,RO,,11,,,,2023-02-04,5,1777225.0,481511,175,7426,0,,,
105,Norte,RO,,11,,,,2023-02-05,6,1777225.0,481516,5,7426,0,,,
106,Norte,RO,,11,,,,2023-02-06,6,1777225.0,481525,9,7426,0,,,
107,Norte,RO,,11,,,,2023-02-07,6,1777225.0,481594,69,7428,2,,,
108,Norte,RO,,11,,,,2023-02-08,6,1777225.0,481639,45,7427,-1,,,
109,Norte,RO,,11,,,,2023-02-09,6,1777225.0,481711,72,7427,0,,,
110,Norte,RO,,11,,,,2023-02-10,6,1777225.0,481815,104,7427,0,,,
111,Norte,RO,,11,,,,2023-02-11,6,1777225.0,481871,56,7427,0,,,
112,Norte,RO,,11,,,,2023-02-12,7,1777225.0,481871,0,7427,0,,,
113,Norte,RO,,11,,,,2023-02-13,7,1777225.0,482052,181,7426,-1,,,
114,Norte,RO,,11,,,,2023-02-14,7,1777225.0,482147,95,7426,0,,,
115,Norte,RO,,11,,,,2023-02-15,7,1777225.0,482172,25,7426,0,,,
116,Norte,RO,,11,,,,2023-02-16,7,1777225.0,482212,40,7428,2,,,
117,Norte,RO,,11,,,,2023-02-17,7,1777225.0,482309,97,7428,0,,,
118,Norte,RO,,11,,,,2023-02-18,7,1777225.0,482330,21,7428,0,,,
119,Norte,RO,,11,,,,2023-02-19,8,1777225.0,482337,7,7428,0,,,
120,Norte,RO,,11,,,,2023-02-20,8,1777225.0,482358,21,7428,0,,,
121,Norte,RO,,11,,,,2023-02-21,8,1777225.0,482368,10,7428,0,,,
122,Norte,RO,,11,,,,2023-02-22,8,1777225.0,482422,54,7428,0,,,
123,Norte,RO,,11,,,,2023-02-23,8,1777225.0,482444,22,7428,0,,,
124,Norte,RO,,11,,,,2023-02-24,8,1777225.0,482543,99,7429,1,,,
125,Norte,RO,,11,,,,2023-02-25,8,1777225.0,482599,56,7429,0,,,
126,Norte,RO,,11,,,,2023-02-26,9,1777225.0,482600,1,7429,0,,,
127,Norte,RO,,11,,,,2023-02-27,9,1777225.0,482654,54,7430,1,,,
128,Norte,RO,,11,,,,2023-02-28,9,1777225.0,482731,77,7430,0,,,
129,Norte,RO,,11,,,,2023-03-01,9,1777225.0,482763,32,7430,0,,,
130,Norte,RO,,11,,,,2023-03-02,9,1777225.0,482869,106,7431,1,,,
131,Norte,RO,,11,,,,2023-03-03,9,1777225.0,482910,41,7432,1,,,
132,Norte,RO,,11,,,,2023-03-04,9,1777225.0,482910,0,7432,0,,,
133,Norte,RO,,11,,,,2023-03-05,10,1777225.0,482910,0,7432,0,,,
134,Norte,RO,,11,,,,2023-03-06,10,1777225.0,482910,0,7432,0,,,
135,Norte,RO,,11,,,,2023-03-07,10,1777225.0,482910,0,7432,0,,,
136,Norte,RO,,11,,,,2023-03-08,10,1777225.0,482910,0,7432,0,,,
137,Norte,RO,,11,,,,2023-03-09,10,1777225.0,482910,0,7432,0,,,
138,Norte,RO,,11,,,,2023-03-10,10,1777225.0,482910,0,7432,0,,,
139,Norte,RO,,11,,,,2023-03-11,10,1777225.0,483211,301,7430,-2,,,
140,Norte,AC,,12,,,,2023-01-01,1,881935.0,158669,0,2040,0,,,
141,Norte,AC,,12,,,,2023-01-02,1,881935.0,158833,164,2040,0,,,
142,Norte,AC,,12,,,,2023-01-03,1,881935.0,158973,140,2040,0,,,
143,Norte,AC,,12,,,,2023-01-04,1,881935.0,159189,216,2040,0,,,
144,Norte,AC,,12,,,,2023-01-05,1,881935.0,159394,205,2040,0,,,
145,Norte,AC,,12,,,,2023-01-06,1,881935.0,159627,233,2040,0,,,
146,Norte,AC,,12,,,,2023-01-07,1,881935.0,159627,0,2041,1,,,
147,Norte,AC,,12,,,,2023-01-08,2,881935.0,159710,83,2041,0,,,
148,Norte,AC,,12,,,,2023-01-09,2,881935.0,159679,-31,2041,0,,,
149,Norte,AC,,12,,,,2023-01-10,2,881935.0,159752,73,2041,0,,,
150,Norte,AC,,12,,,,2023-01-11,2,881935.0,159815,63,2041,0,,,
151,Norte,AC,,12,,,,2023-01-12,2,881935.0,159878,63,2041,0,,,
152,Norte,AC,,12,,,,2023-01-13,2,881935.0,159878,0,2041,0,,,
153,Norte,AC,,12,,,,2023-01-14,2,881935.0,159880,2,2041,0,,,
154,Norte,AC,,12,,,,2023-01-15,3,881935.0,159880,0,2041,0,,,
155,Norte,AC,,12,,,,2023-01-16,3,881935.0,160015,135,2041,0,,,
156,Norte,AC,,12,,,,2023-01-17,3,881935.0,160039,24,2041,0,,,
157,Norte,AC,,12,,,,2023-01-18,3,881935.0,160069,30,2041,0,,,
158,Norte,AC,,12,,,,2023-01-19,3,881935.0,160088,19,2041,0,,,
159,Norte,AC,,12,,,,2023-01-20,3,881935.0,160106,18,2041,0,,,
160,Norte,AC,,12,,,,2023-01-21,3,881935.0,160111,5,2041,0,,,
161,Norte,AC,,12,,,,2023-01-22,4,881935.0,160113,2,2041,0,,,
162,Norte,AC,,12,,,,2023-01-23,4,881935.0,160116,3,2041,0,,,
163,Norte,AC,,12,,,,2023-01-24,4,881935.0,160116,0,2041,0,,,
164,Norte,AC,,12,,,,2023-01-25,4,881935.0,160127,11,2041,0,,,
165,Norte,AC,,12,,,,2023-01-26,4,881935.0,160142,15,2041,0,,,
166,Norte,AC,,12,,,,2023-01-27,4,881935.0,160159,17,2041,0,,,
167,Norte,AC,,12,,,,2023-01-28,4,881935.0,160163,4,2041,0,,,
168,Norte,AC,,12,,,,2023-01-29,5,881935.0,160166,3,2041,0,,,
169,Norte,AC,,12,,,,2023-01-30,5,881935.0,160167,1,2041,0,,,
170,Norte,AC,,12,,,,2023-01-31,5,881935.0,160177,10,2041,0,,,
171,Norte,AC,,12,,,,2023-02-01,5,881935.0,160188,11,2043,2,,,
172,Norte,AC,,12,,,,2023-02-02,5,881935.0,160191,3,2043,0,,,
173,Norte,AC,,12,,,,2023-02-03,5,881935.0,160191,0,2043,0,,,
174,Norte,AC,,12,,,,2023-02-04,5,881935.0,160193,2,2043,0,,,
175,Norte,AC,,12,,,,2023-02-05,6,881935.0,160203,10,2043,0,,,
176,Norte,AC,,12,,,,2023-02-06,6,881935.0,160204,1,2043,0,,,
177,Norte,AC,,12,,,,2023-02-07,6,881935.0,160223,19,2043,0,,,
178,Norte,AC,,12,,,,2023-02-08,6,881935.0,160223,0,2043,0,,,
179,Norte,AC,,12,,,,2023-02-09,6,881935.0,160256,33,2043,0,,,
180,Norte,AC,,12,,,,2023-02-10,6,881935.0,160261,5,2043,0,,,
181,Norte,AC,,12,,,,2023-02-11,6,881935.0,160261,0,2043,0,,,
182,Norte,AC,,12,,,,2023-02-12,7,881935.0,160271,10,2043,0,,,
183,Norte,AC,,12,,,,2023-02-13,7,881935.0,160276,5,2043,0,,,
184,Norte,AC,,12,,,,2023-02-14,7,881935.0,160276,0,2043,0,,,
185,Norte,AC,,12,,,,2023-02-15,7,881935.0,160276,0,2043,0,,,
186,Norte,AC,,12,,,,2023-02-16,7,881935.0,160308,32,2043,0,,,
187,Norte,AC,,12,,,,2023-02-17,7,881935.0,160328,20,2043,0,,,
188,Norte,AC,,12,,,,2023-02-18,7,881935.0,160328,0,2043,0,,,
189,Norte,AC,,12,,,,2023-02-19,8,881935.0,160349,21,2043,0,,,
190,Norte,AC,,12,,,,2023-02-20,8,881935.0,160349,0,2043,0,,,
191,Norte,AC,,12,,,,2023-02-21,8,881935.0,160349,0,2043,0,,,
192,Norte,AC,,12,,,,2023-02-22,8,881935.0,160349,0,2043,0,,,
193,Norte,AC,,12,,,,2023-02-23,8,881935.0,160366,17,2043,0,,,
194,Norte,AC,,12,,,,2023-02-24,8,881935.0,160377,11,2043,0,,,
195,Norte,AC,,12,,,,2023-02-25,8,881935.0,160382,5,2043,0,,,
196,Norte,AC,,12,,,,2023-02-26,9,881935.0,160382,0,2043,0,,,
197,Norte,AC,,12,,,,2023-02-27,9,881935.0,160386,4,2043,0,,,
198,Norte,AC,,12,,,,2023-02-28,9,881935.0,160386,0,2043,0,,,
199,Norte,AC,,12,,,,2023-03-01,9,881935.0,160387,1,2043,0,,,
200,Norte,AC,,12,,,,2023-03-02,9,881935.0,160423,36,2043,0,,,
201,Norte,AC,,12,,,,2023-03-03,9,881935.0,160433,10,2043,0,,,
202,Norte,AC,,12,,,,2023-03-04,9,881935.0,160452,19,2043,0,,,
203,Norte,AC,,12,,,,2023-03-05,10,881935.0,160452,0,2043,0,,,
204,Norte,AC,,12,,,,2023-03-06,10,881935.0,160452,0,2043,0,,,
205,Norte,AC,,12,,,,2023-03-07,10,881935.0,160452,0,2043,0,,,
206,Norte,AC,,12,,,,2023-03-08,10,881935.0,160452,0,2043,0,,,
207,Norte,AC,,12,,,,2023-03-09,10,881935.0,160452,0,2043,0,,,
208,Norte,AC,,12,,,,2023-03-10,10,881935.0,160452,0,2043,0,,,
209,Norte,AC,,12,,,,2023-03-11,10,881935.0,160530,78,2043,0,,,
210,Norte,AM,,13,,,,2023-01-01,1,4144597.0,624864,0,14418,0,,,
211,Norte,AM,,13,,,,2023-01-02,1,4144597.0,624902,38,14419,1,,,
212,Norte,AM,,13,,,,2023-01-03,1,4144597.0,624918,16,14420,1,,,
213,Norte,AM,,13,,,,2023-01-04,1,4144597.0,624951,33,14420,0,,,
214,Norte,AM,,13,,,,2023-01-05,1,4144597.0,624978,27,14420,0,,,
215,Norte,AM,,13,,,,2023-01-06,1,4144597.0,624994,16,14420,0,,,
216,Norte,AM,,13,,,,2023-01-07,1,4144597.0,625007,13,14420,0,,,
217,Norte,AM,,13,,,,2023-01-08,2,4144597.0,625012,5,14420,0,,,
218,Norte,AM,,13,,,,2023-01-09,2,4144597.0,625017,5,14420,0,,,
219,Norte,AM,,13,,,,2023-01-10,2,4144597.0,625029,12,14421,1,,,
220,Norte,AM,,13,,,,2023-01-11,2,4144597.0,625059,30,14421,0,,,
221,Norte,AM,,13,,,,2023-01-12,2,4144597.0,625082,23,14421,0,,,
222,Norte,AM,,13,,,,2023-01-13,2,4144597.0,625110,28,14421,0,,,
223,Norte,AM,,13,,,,2023-01-14,2,4144597.0,625124,14,14421,0,,,
224,Norte,AM,,13,,,,2023-01-15,3,4144597.0,625126,2,14421,0,,,
225,Norte,AM,,13,,,,2023-01-16,3,4144597.0,625147,21,14421,0,,,
226,Norte,AM,,13,,,,2023-01-17,3,4144597.0,625169,22,14421,0,,,
227,Norte,AM,,13,,,,2023-01-18,3,4144597.0,625202,33,14421,0,,,
228,Norte,AM,,13,,,,2023-01-19,3,4144597.0,625229,27,14421,0,,,
229,Norte,AM,,13,,,,2023-01-20,3,4144597.0,625260,31,14421,0,,,
230,Norte,AM,,13,,,,2023-01-21,3,4144597.0,625271,11,14421,0,,,
231,Norte,AM,,13,,,,2023-01-22,4,4144597.0,625274,3,14421,0,,,
232,Norte,AM,,13,,,,2023-01-23,4,4144597.0,625293,19,14421,0,,,
233,Norte,AM,,13,,,,2023-01-24,4,4144597.0,625318,25,14421,0,,,
234,Norte,AM,,13,,,,2023-01-25,4,4144597.0,625321,3,14421,0,,,
235,Norte,AM,,13,,,,2023-01-26,4,4144597.0,625351,30,14421,0,,,
236,Norte,AM,,13,,,,2023-01-27,4,4144597.0,625363,12,14421,0,,,
237,Norte,AM,,13,,,,2023-01-28,4,4144597.0,625367,4,14422,1,,,
238,Norte,AM,,13,,,,2023-01-29,5,4144597.0,625381,14,14422,0,,,
239,Norte,AM,,13,,,,2023-01-30,5,4144597.0,625388,7,14422,0,,,
240,Norte,AM,,13,,,,2023-01-31,5,4144597.0,625402,14,14422,0,,,
241,Norte,AM,,13,,,,2023-02-01,5,4144597.0,625418,16,14422,0,,,
242,Norte,AM,,13,,,,2023-02-02,5,4144597.0,625448,30,14422,0,,,
243,Norte,AM,,13,,,,2023-02-03,5,4144597.0,625468,20,14422,0,,,
244,Norte,AM,,13,,,,2023-02-04,5,4144597.0,625495,27,14422,0,,,
245,Norte,AM,,13,,,,2023-02-05,6,4144597.0,625511,16,14422,0,,,
246,Norte,AM,,13,,,,2023-02-06,6,4144597.0,625533,22,14422,0,,,
247,Norte,AM,,13,,,,2023-02-07,6,4144597.0,625595,62,14422,0,,,
248,Norte,AM,,13,,,,2023-02-08,6,4144597.0,625663,68,14422,0,,,
249,Norte,AM,,13,,,,2023-02-09,6,4144597.0,625767,104,14423,1,,,
250,Norte,AM,,13,,,,2023-02-10,6,4144597.0,625900,133,14423,0,,,
251,Norte,AM,,13,,,,2023-02-11,6,4144597.0,626094,194,14423,0,,,
252,Norte,AM,,13,,,,2023-02-12,7,4144597.0,626181,87,14423,0,,,
253,Norte,AM,,13,,,,2023-02-13,7,4144597.0,626259,78,14423,0,,,
254,Norte,AM,,13,,,,2023-02-14,7,4144597.0,626551,292,14423,0,,,
255,Norte,AM,,13,,,,2023-02-15,7,4144597.0,626762,211,14424,1,,,
256,Norte,AM,,13,,,,2023-02-16,7,4144597.0,627095,333,14424,0,,,
257,Norte,AM,,13,,,,2023-02-17,7,4144597.0,627508,413,14425,1,,,
258,Norte,AM,,13,,,,2023-02-18,7,4144597.0,627931,423,14425,0,,,
259,Norte,AM,,13,,,,2023-02-19,8,4144597.0,628144,213,14425,0,,,
260,Norte,AM,,13,,,,2023-02-20,8,4144597.0,628344,200,14426,1,,,
261,Norte,AM,,13,,,,2023-02-21,8,4144597.0,628547,203,14427,1,,,
262,Norte,AM,,13,,,,2023-02-22,8,4144597.0,628783,236,14427,0,,,
263,Norte,AM,,13,,,,2023-02-23,8,4144597.0,629188,405,14427,0,,,
264,Norte,AM,,13,,,,2023-02-24,8,4144597.0,629638,450,14429,2,,,
265,Norte,AM,,13,,,,2023-02-25,8,4144597.0,630135,497,14431,2,,,
266,Norte,AM,,13,,,,2023-02-26,9,4144597.0,630279,144,14431,0,,,
267,Norte,AM,,13,,,,2023-02-27,9,4144597.0,630494,215,14433,2,,,
268,Norte,AM,,13,,,,2023-02-28,9,4144597.0,630930,436,14437,4,,,
269,Norte,AM,,13,,,,2023-03-01,9,4144597.0,631312,382,14439,2,,,
270,Norte,AM,,13,,,,2023-03-02,9,4144597.0,631713,401,14441,2,,,
271,Norte,AM,,13,,,,2023-03-03,9,4144597.0,631976,263,14443,2,,,
272,Norte,AM,,13,,,,2023-03-04,9,4144597.0,631976,0,14443,0,,,
273,Norte,AM,,13,,,,2023-03-05,10,4144597.0,631976,0,14443,0,,,
274,Norte,AM,,13,,,,2023-03-06,10,4144597.0,631976,0,14443,0,,,
275,Norte,AM,,13,,,,2023-03-07,10,4144597.0,631976,0,14443,0,,,
276,Norte,AM,,13,,,,2023-03-08,10,4144597.0,631976,0,14443,0,,,
277,Norte,AM,,13,,,,2023-03-09,10,4144597.0,631976,0,14443,0,,,
278,Norte,AM,,13,,,,2023-03-10,10,4144597.0,631976,0,14443,0,,,
279,Norte,AM,,13,,,,2023-03-11,10,4144597.0,633733,1757,14453,10,,,
280,Norte,RR,,14,,,,2023-01-01,1,605761.0,181245,0,2180,0,,,
281,Norte,RR,,14,,,,2023-01-02,1,605761.0,181277,32,2180,0,,,
282,Norte,RR,,14,,,,2023-01-03,1,605761.0,181301,24,2180,0,,,
283,Norte,RR,,14,,,,2023-01-04,1,605761.0,181332,31,2180,0,,,
284,Norte,RR,,14,,,,2023-01-05,1,605761.0,181365,33,2180,0,,,
285,Norte,RR,,14,,,,2023-01-06,1,605761.0,181401,36,2180,0,,,
286,Norte,RR,,14,,,,2023-01-07,1,605761.0,181401,0,2180,0,,,
287,Norte,RR,,14,,,,2023-01-08,2,605761.0,181401,0,2180,0,,,
288,Norte,RR,,14,,,,2023-01-09,2,605761.0,181429,28,2180,0,,,
289,Norte,RR,,14,,,,2023-01-10,2,605761.0,181466,37,2180,0,,,
290,Norte,RR,,14,,,,2023-01-11,2,605761.0,181480,14,2180,0,,,
291,Norte,RR,,14,,,,2023-01-12,2,605761.0,181516,36,2180,0,,,
292,Norte,RR,,14,,,,2023-01-13,2,605761.0,181541,25,2180,0,,,
293,Norte,RR,,14,,,,2023-01-14,2,605761.0,181541,0,2180,0,,,
294,Norte,RR,,14,,,,2023-01-15,3,605761.0,181541,0,2180,0,,,
295,Norte,RR,,14,,,,2023-01-16,3,605761.0,181576,35,2180,0,,,
296,Norte,RR,,14,,,,2023-01-17,3,605761.0,181611,35,2180,0,,,
297,Norte,RR,,14,,,,2023-01-18,3,605761.0,181651,40,2180,0,,,
298,Norte,RR,,14,,,,2023-01-19,3,605761.0,181684,33,2180,0,,,
299,Norte,RR,,14,,,,2023-01-20,3,605761.0,181684,0,2180,0,,,
300,Norte,RR,,14,,,,2023-01-21,3,605761.0,181684,0,2180,0,,,
301,Norte,RR,,14,,,,2023-01-22,4,605761.0,181684,0,2180,0,,,
302,Norte,RR,,14,,,,2023-01-23,4,605761.0,181720,36,2180,0,,,
303,Norte,RR,,14,,,,2023-01-24,4,605761.0,181750,30,2180,0,,,
304,Norte,RR,,14,,,,2023-01-25,4,605761.0,181772,22,2180,0,,,
305,Norte,RR,,14,,,,2023-01-26,4,605761.0,181798,26,2180,0,,,
306,Norte,RR,,14,,,,2023-01-27,4,605761.0,181809,11,2180,0,,,
307,Norte,RR,,14,,,,2023-01-28,4,605761.0,181809,0,2180,0,,,
308,Norte,RR,,14,,,,2023-01-29,5,605761.0,181809,0,2180,0,,,
309,Norte,RR,,14,,,,2023-01-30,5,605761.0,181815,6,2180,0,,,
310,Norte,RR,,14,,,,2023-01-31,5,605761.0,181866,51,2180,0,,,
311,Norte,RR,,14,,,,2023-02-01,5,605761.0,181892,26,2180,0,,,
312,Norte,RR,,14,,,,2023-02-02,5,605761.0,181892,0,2180,0,,,
313,Norte,RR,,14,,,,2023-02-03,5,605761.0,181892,0,2180,0,,,
314,Norte,RR,,14,,,,2023-02-04,5,605761.0,181892,0,2180,0,,,
315,Norte,RR,,14,,,,2023-02-05,6,605761.0,181892,0,2180,0,,,
316,Norte,RR,,14,,,,2023-02-06,6,605761.0,181892,0,2180,0,,,
317,Norte,RR,,14,,,,2023-02-07,6,605761.0,181944,52,2180,0,,,
318,Norte,RR,,14,,,,2023-02-08,6,605761.0,181988,44,2180,0,,,
319,Norte,RR,,14,,,,2023-02-09,6,605761.0,181988,0,2180,0,,,
320,Norte,RR,,14,,,,2023-02-10,6,605761.0,182010,22,2180,0,,,
321,Norte,RR,,14,,,,2023-02-11,6,605761.0,182010,0,2180,0,,,
322,Norte,RR,,14,,,,2023-02-12,7,605761.0,182010,0,2180,0,,,
323,Norte,RR,,14,,,,2023-02-13,7,605761.0,182010,0,2180,0,,,
324,Norte,RR,,14,,,,2023-02-14,7,605761.0,182084,74,2180,0,,,
325,Norte,RR,,14,,,,2023-02-15,7,605761.0,182084,0,2180,0,,,
326,Norte,RR,,14,,,,2023-02-16,7,605761.0,182140,56,2180,0,,,
327,Norte,RR,,14,,,,2023-02-17,7,605761.0,182147,7,2180,0,,,
328,Norte,RR,,14,,,,2023-02-18,7,605761.0,182147,0,2180,0,,,
329,Norte,RR,,14,,,,2023-02-19,8,605761.0,182147,0,2180,0,,,
330,Norte,RR,,14,,,,2023-02-20,8,605761.0,182147,0,2180,0,,,
331,Norte,RR,,14,,,,2023-02-21,8,605761.0,182147,0,2180,0,,,
332,Norte,RR,,14,,,,2023-02-22,8,605761.0,182147,0,2180,0,,,
333,Norte,RR,,14,,,,2023-02-23,8,605761.0,182147,0,2180,0,,,
334,Norte,RR,,14,,,,2023-02-24,8,605761.0,182282,135,2180,0,,,
335,Norte,RR,,14,,,,2023-02-25,8,605761.0,182282,0,2180,0,,,
336,Norte,RR,,14,,,,2023-02-26,9,605761.0,182282,0,2180,0,,,
337,Norte,RR,,14,,,,2023-02-27,9,605761.0,182282,0,2180,0,,,
338,Norte,RR,,14,,,,2023-02-28,9,605761.0,182282,0,2180,0,,,
339,Norte,RR,,14,,,,2023-03-01,9,605761.0,182282,0,2180,0,,,
340,Norte,RR,,14,,,,2023-03-02,9,605761.0,182282,0,2180,0,,,
341,Norte,RR,,14,,,,2023-03-03,9,605761.0,182485,203,2180,0,,,
342,Norte,RR,,14,,,,2023-03-04,9,605761.0,182505,20,2180,0,,,
343,Norte,RR,,14,,,,2023-03-05,10,605761.0,182505,0,2180,0,,,
344,Norte,RR,,14,,,,2023-03-06,10,605761.0,182505,0,2180,0,,,
345,Norte,RR,,14,,,,2023-03-07,10,605761.0,182505,0,2180,0,,,
346,Norte,RR,,14,,,,2023-03-08,10,605761.0,182505,0,2180,0,,,
347,Norte,RR,,14,,,,2023-03-09,10,605761.0,182505,0,2180,0,,,
348,Norte,RR,,14,,,,2023-03-10,10,605761.0,182505,0,2180,0,,,
349,Norte,RR,,14,,,,2023-03-11,10,605761.0,182625,120,2180,0,,,
350,Norte,PA,,15,,,,2023-01-01,1,8602865.0,861041,0,18953,0,,,
351,Norte,PA,,15,,,,2023-01-02,1,8602865.0,861181,140,18956,3,,,
352,Norte,PA,,15,,,,2023-01-03,1,8602865.0,861325,144,18965,9,,,
353,Norte,PA,,15,,,,2023-01-04,1,8602865.0,861557,232,18965,0,,,
354,Norte,PA,,15,,,,2023-01-05,1,8602865.0,861750,193,18970,5,,,
355,Norte,PA,,15,,,,2023-01-06,1,8602865.0,861951,201,18983,13,,,
356,Norte,PA,,15,,,,2023-01-07,1,8602865.0,862146,195,18986,3,,,
357,Norte,PA,,15,,,,2023-01-08,2,8602865.0,862190,44,18987,1,,,
358,Norte,PA,,15,,,,2023-01-09,2,8602865.0,862279,89,18987,0,,,
359,Norte,PA,,15,,,,2023-01-10,2,8602865.0,862509,230,18988,1,,,
360,Norte,PA,,15,,,,2023-01-11,2,8602865.0,862729,220,18988,0,,,
361,Norte,PA,,15,,,,2023-01-12,2,8602865.0,862842,113,18991,3,,,
362,Norte,PA,,15,,,,2023-01-13,2,8602865.0,862967,125,18988,-3,,,
363,Norte,PA,,15,,,,2023-01-14,2,8602865.0,863119,152,18988,0,,,
364,Norte,PA,,15,,,,2023-01-15,3,8602865.0,863170,51,18989,1,,,
365,Norte,PA,,15,,,,2023-01-16,3,8602865.0,863202,32,18989,0,,,
366,Norte,PA,,15,,,,2023-01-17,3,8602865.0,863478,276,18990,1,,,
367,Norte,PA,,15,,,,2023-01-18,3,8602865.0,863784,306,18995,5,,,
368,Norte,PA,,15,,,,2023-01-19,3,8602865.0,864149,365,18995,0,,,
369,Norte,PA,,15,,,,2023-01-20,3,8602865.0,864379,230,18996,1,,,
370,Norte,PA,,15,,,,2023-01-21,3,8602865.0,864552,173,18999,3,,,
371,Norte,PA,,15,,,,2023-01-22,4,8602865.0,864573,21,18999,0,,,
372,Norte,PA,,15,,,,2023-01-23,4,8602865.0,864605,32,19000,1,,,
373,Norte,PA,,15,,,,2023-01-24,4,8602865.0,864849,244,19000,0,,,
374,Norte,PA,,15,,,,2023-01-25,4,8602865.0,865120,271,19000,0,,,
375,Norte,PA,,15,,,,2023-01-26,4,8602865.0,865295,175,19001,1,,,
376,Norte,PA,,15,,,,2023-01-27,4,8602865.0,865498,203,19002,1,,,
377,Norte,PA,,15,,,,2023-01-28,4,8602865.0,865661,163,19002,0,,,
378,Norte,PA,,15,,,,2023-01-29,5,8602865.0,865702,41,19002,0,,,
379,Norte,PA,,15,,,,2023-01-30,5,8602865.0,865759,57,19002,0,,,
380,Norte,PA,,15,,,,2023-01-31,5,8602865.0,866027,268,19003,1,,,
381,Norte,PA,,15,,,,2023-02-01,5,8602865.0,866281,254,19004,1,,,
382,Norte,PA,,15,,,,2023-02-02,5,8602865.0,866600,319,19004,0,,,
383,Norte,PA,,15,,,,2023-02-03,5,8602865.0,866849,249,19004,0,,,
384,Norte,PA,,15,,,,2023-02-04,5,8602865.0,866994,145,19004,0,,,
385,Norte,PA,,15,,,,2023-02-05,6,8602865.0,867042,48,19004,0,,,
386,Norte,PA,,15,,,,2023-02-06,6,8602865.0,867065,23,19004,0,,,
387,Norte,PA,,15,,,,2023-02-07,6,8602865.0,867337,272,19005,1,,,
388,Norte,PA,,15,,,,2023-02-08,6,8602865.0,867631,294,19006,1,,,
389,Norte,PA,,15,,,,2023-02-09,6,8602865.0,867836,205,19006,0,,,
390,Norte,PA,,15,,,,2023-02-10,6,8602865.0,868012,176,19007,1,,,
391,Norte,PA,,15,,,,2023-02-11,6,8602865.0,868120,108,19007,0,,,
392,Norte,PA,,15,,,,2023-02-12,7,8602865.0,868130,10,19007,0,,,
393,Norte,PA,,15,,,,2023-02-13,7,8602865.0,868162,32,19007,0,,,
394,Norte,PA,,15,,,,2023-02-14,7,8602865.0,868402,240,19007,0,,,
